
#Abundancia das classes heteroatomicas
#Intensidade total: 7457151.500000
#Classe	Int. Relativa (%)
Num. C	Intensidade
29	959.469299
30	757.156006
31	708.981140
32	1115.152588
33	1028.419067
34	991.072754
35	1122.779175
36	1421.552734
37	1148.539429
38	924.615906
39	1223.262085
40	1343.644409
41	1242.627441
42	1222.242920
43	1105.027954
44	928.308044
45	1033.393433
46	1293.632690
47	1110.604126
48	1185.366211
49	833.780884
50	820.864502
51	1000.895264
52	928.780457
53	933.271240
54	0.000000
55	851.252441
56	731.526917
57	708.334778
58	751.478394

Distribuicao da quantidade de carbonos no DBE11 da classe NO2
Num. C	Intensidade
30	768.734497
31	867.948364
32	1118.750610
33	1046.791016
34	1190.173584
35	1284.019653
36	1258.854858
37	1275.843506
38	1568.010010
39	1460.388672
40	1365.745483
41	1386.692139
42	1480.282471
43	1035.757935
44	1232.443359
45	1192.744385
46	1141.352173
47	1071.140137
48	1112.213989
49	1116.130249
50	1149.322754
51	1053.350464
52	1114.491089
53	850.593201
54	1200.101440
55	1282.689209
56	791.833496
57	707.248169
58	773.795166

Distribuicao da quantidade de carbonos no DBE12 da classe NO2
Num. C	Intensidade
31	974.519104
32	761.274841
33	985.950073
34	1080.219849
35	984.113647
36	1175.003418
37	1352.290161
38	1200.324219
39	1305.366333
40	1414.072998
41	1387.411499
42	1199.148682
43	1157.311646
44	1376.394897
45	1429.771484
46	1227.759766
47	1171.647705
48	1065.345581
49	1277.556396
50	1054.693970
51	1077.978271
52	1237.518433
53	1129.587280
54	1122.110718
55	850.489624
56	906.761475
57	1079.404053

Distribuicao da quantidade de carbonos no DBE13 da classe NO2
Num. C	Intensidade
31	692.253479
32	911.603455
33	1006.004761
34	976.277222
35	896.340210
36	1110.160645
37	1253.491943
38	1145.777832
39	1034.969971
40	1128.344727
41	1306.786133
42	1273.048584
43	1164.151733
44	1089.899292
45	1351.293823
46	1245.007568
47	1134.617676
48	1107.459473
49	1091.529419
50	1061.958740
51	1151.139893
52	953.375488
53	854.046997
54	861.862061
55	1137.202759
56	1078.646362
57	908.539673

Distribuicao da quantidade de carbonos no DBE14 da classe NO2
Num. C	Intensidade
32	769.643005
33	655.540955
34	920.204834
35	772.005188
36	1128.650879
37	1090.106567
38	1039.984741
39	1003.739380
40	1193.205322
41	1471.715454
42	1096.155518
43	1140.840576
44	1130.234131
45	1181.915283
46	953.889404
47	1143.994751
48	1418.808472
49	1044.173950
50	1159.903198
51	1157.309326
52	894.287964
53	804.126465
54	1141.521118
55	1090.296997
56	842.350769
57	964.071472
58	883.508423
59	754.038208

Distribuicao da quantidade de carbonos no DBE15 da classe NO2
Num. C	Intensidade
32	683.470947
33	723.403015
34	649.808960
35	965.552490
36	856.678223
37	888.601440
38	912.576172
39	849.703308
40	994.901489
41	1135.273071
42	1190.964355
43	1013.962158
44	1106.640381
45	1054.139893
46	1206.318726
47	1204.995239
48	1077.935181
49	922.610657
50	912.214478
51	1144.560181
52	1147.499268
53	1076.309326
54	1025.676514
55	953.684692
56	1076.987915
57	1012.983765
58	864.029602

Distribuicao da quantidade de carbonos no DBE16 da classe NO2
Num. C	Intensidade
35	667.757996
36	0.000000
37	0.000000
38	859.908325
39	771.480103
40	831.478149
41	1016.099854
42	991.781860
43	858.008423
44	908.111572
45	926.366272
46	800.159180
47	966.603577
48	678.355652
49	907.434875
50	1056.479004
51	747.673218
52	873.842590
53	765.660461
54	989.478882
55	918.232300
56	885.657104
57	898.108215
58	912.010315

Distribuicao da quantidade de carbonos no DBE17 da classe NO2
Num. C	Intensidade
39	651.290527
40	0.000000
41	0.000000
42	707.304565
43	0.000000
44	802.821716
45	826.851624
46	841.241882
47	896.413513
48	855.862366
49	735.872559
50	675.457275
51	918.107422
52	729.710571
53	950.355164
54	859.798584
55	747.403503
56	823.118713
57	1009.949097

Distribuicao da quantidade de carbonos no DBE18 da classe NO2
Num. C	Intensidade
39	754.994629
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	800.318481
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	693.359802
52	778.212891
53	639.470581
54	759.666077
55	783.433228
56	707.156311
57	750.414368

Distribuicao da quantidade de carbonos no DBE19 da classe NO2
Num. C	Intensidade
49	676.160034
50	0.000000
51	638.505859
52	733.693726
53	723.956360


#Abundancia relativa do DBE na Classe Heteroatomica O
#Intensidade total da classe: 1067108.750000
DBE	Int. Relativa (%)
4	28.835745
5	15.573527
6	9.223845
7	6.291823
8	7.095822
9	7.821846
10	5.782794
11	4.648759
12	4.642643
13	3.418355
14	2.915703
15	1.850149
16	1.228265
17	0.590797
20	0.079946

Distribuicao da quantidade de carbonos no DBE4 da classe O
Num. C	Intensidade
21	1317.293823
22	1961.330566
23	2538.928467
24	3949.722412
25	5747.019531
26	8151.387695
27	13519.267578
28	14764.899414
29	13461.514648
30	14145.906250
31	13877.466797
32	14517.612305
33	15342.986328
34	14492.484375
35	12877.115234
36	12651.220703
37	12877.360352
38	10747.731445
39	11290.520508
40	10074.071289
41	9574.288086
42	9569.711914
43	8470.605469
44	7664.938477
45	7670.064453
46	7525.071289
47	7489.099121
48	5815.125000
49	5385.280762
50	4517.895508
51	4572.850098
52	3750.780762
53	3350.043945
54	3188.496826
55	2514.093262
56	2725.519287
57	2063.013428
58	1703.167236
59	1184.867676
60	667.993896

Distribuicao da quantidade de carbonos no DBE5 da classe O
Num. C	Intensidade
22	907.801514
23	1181.675171
24	1442.126831
25	2160.425293
26	2917.490723
27	5992.612793
28	5740.801270
29	6172.108398
30	6207.502441
31	7443.954102
32	7984.237305
33	7790.137695
34	8101.000000
35	7853.995605
36	7449.829590
37	6812.349609
38	7467.233887
39	6211.593262
40	5411.797852
41	5448.930176
42	5606.902344
43	4547.969238
44	4378.848145
45	4212.667480
46	3931.521729
47	3956.463623
48	3370.687500
49	2895.709717
50	3009.329346
51	2856.590576
52	2740.976562
53	2756.533203
54	2354.488281
55	2273.799316
56	1642.258545
57	1771.498779
58	1343.826904
59	1049.395630
60	789.427490

Distribuicao da quantidade de carbonos no DBE6 da classe O
Num. C	Intensidade
23	685.110229
24	811.926514
25	1159.749268
26	1670.870605
27	2206.716553
28	2567.245117
29	3115.194092
30	3283.790039
31	3834.555420
32	3705.396973
33	4309.807129
34	4187.302734
35	4288.876465
36	4107.998047
37	4075.533936
38	3940.270020
39	3681.367432
40	3948.519287
41	3778.938721
42	3645.333496
43	2983.761230
44	3121.552002
