
#Abundancia das classes heteroatomicas
#Intensidade total: 8710929.000000
#Classe	Int. Relativa (%)
41	1185.882446
42	961.998474
43	907.502014

Distribuicao da quantidade de carbonos no DBE26 da classe NO3
Num. C	Intensidade
34	1105.639526
35	1856.646851
36	2000.091309
37	2210.138428
38	2012.814453
39	1575.502930
40	1452.189697
41	1194.084717
42	0.000000
43	854.188721

Distribuicao da quantidade de carbonos no DBE27 da classe NO3
Num. C	Intensidade
36	1028.489502
37	1500.462036
38	1800.177368
39	1701.336548
40	1582.244751
41	1447.489136
42	1191.316772
43	847.964722
44	0.000000
45	813.876770

Distribuicao da quantidade de carbonos no DBE28 da classe NO3
Num. C	Intensidade
38	1075.392822
39	1291.534790
40	1468.540161
41	1646.591797
42	1412.441895
43	1108.653320

Distribuicao da quantidade de carbonos no DBE29 da classe NO3
Num. C	Intensidade
39	834.307678
40	1057.092896
41	1251.354370
42	1099.922363
43	1203.532593
44	1002.163452
45	869.164429

Distribuicao da quantidade de carbonos no DBE30 da classe NO3
Num. C	Intensidade
42	903.475769
43	1105.792969
44	1085.826294
45	989.557007

Distribuicao da quantidade de carbonos no DBE31 da classe NO3
Num. C	Intensidade
43	804.940918
44	860.591858
45	808.120300


#Abundancia relativa do DBE na Classe Heteroatomica O
#Intensidade total da classe: 318718.843750
DBE	Int. Relativa (%)
1	8.874259
2	2.607953
3	0.527606
4	4.489974
5	8.451592
6	4.916358
7	3.174049
8	2.027426
9	0.272346
10	0.966588
12	1.165452
13	2.114293
14	1.848040
15	4.298455
16	3.510488
17	4.187070
18	6.446521
19	5.351836
20	9.030667
21	6.543300
22	5.579710
23	4.550705
24	3.744269
25	2.418697
26	1.447351
27	1.454988

Distribuicao da quantidade de carbonos no DBE1 da classe O
Num. C	Intensidade
18	904.473816
19	0.000000
20	1241.734619
21	3107.522217
22	2354.995361
23	6112.807129
24	2482.029053
25	4114.939941
26	1965.716431
27	2423.578857
28	1619.178833
29	1040.858887
30	916.098938

Distribuicao da quantidade de carbonos no DBE2 da classe O
Num. C	Intensidade
22	943.238586
23	0.000000
24	1017.724487
25	876.403931
26	889.304993
27	1039.632935
28	843.830994
29	952.171448
30	943.026428
31	806.705139

Distribuicao da quantidade de carbonos no DBE3 da classe O
Num. C	Intensidade
23	814.737610
24	0.000000
25	866.841492

Distribuicao da quantidade de carbonos no DBE4 da classe O
Num. C	Intensidade
17	1165.447021
18	1284.477417
19	1165.747925
20	0.000000
21	942.255127
22	0.000000
23	891.632263
24	3850.993896
25	1496.308838
26	1363.560669
27	1295.003662
28	854.967712

Distribuicao da quantidade de carbonos no DBE5 da classe O
Num. C	Intensidade
22	808.424011
23	0.000000
24	2371.604980
25	7296.563965
26	4605.475586
27	3637.290527
